0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:28 +0530] "GET /web/Delete_Payment?id=24 HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:29 +0530] "GET /web/Delete_Payment?id=24 HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:29 +0530] "GET /web/Delete_Payment?id=23 HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:30 +0530] "GET /web/Delete_Payment?id=23 HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:30 +0530] "GET /web/Delete_Payment?id=22 HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:31 +0530] "GET /web/Delete_Payment?id=22 HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:32 +0530] "GET /web/Delete_Payment?id=22 HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:32 +0530] "GET /web/Delete_Payment?id=23 HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:32 +0530] "GET /web/Delete_Payment?id=24 HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:42:33 +0530] "GET /web/Delete_Payment?id=25 HTTP/1.1" 200 1512
